Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Work Hours per Week,Sleep Hours,Work-Life Balance Score,Manager Support Score,Deadline Pressure Score,Team Size,Recognition Frequency,Rango_Descanso
Female,Service,No,2,3,3.8,0.16,35,7.5,3,3,1,16,2,7.5
Male,Service,Yes,1,2,5.0,0.36,41,7.1,5,3,3,10,5,7.5
Female,Product,Yes,2,4,5.8,0.49,53,5.7,2,3,5,17,0,6.0
Male,Service,Yes,1,1,2.6,0.2,43,6.7,3,3,1,13,2,7.0
Female,Service,No,3,7,6.9,0.52,51,5.2,1,3,4,18,0,5.5
Male,Product,Yes,2,4,3.6,0.29,41,7.0,4,4,3,9,5,7.0
Female,Service,No,3,6,7.9,0.62,52,5.3,2,3,5,18,0,5.5
Female,Service,Yes,2,4,4.4,0.33,37,6.8,4,5,3,14,5,7.0
Female,Service,No,3,6,6.70179985126814,0.56,50,5.0,1,2,4,16,1,5.0
Female,Product,No,3,6,7.7277640092708495,0.67,58,4.5,2,3,4,12,0,4.5
Male,Product,Yes,2,3,5.3,0.5,52,6.6,2,3,5,8,0,7.0
Male,Service,Yes,0,1,1.8,0.12,36,6.8,3,3,1,19,5,7.0
Male,Service,Yes,2,5,5.168810848133818,0.4,40,7.6,3,5,1,9,4,8.0
Female,Product,No,1,3,4.611120781142343,0.33,39,6.5,4,4,3,8,4,6.5
Male,Product,Yes,1,3,5.8,0.51,58,5.5,2,1,4,10,0,5.5
Female,Service,Yes,3,5,4.7,0.32,36,7.2,4,4,2,3,5,7.5
Male,Service,Yes,1,2,5.9,0.39,43,7.0,4,3,3,13,2,7.0
Male,Service,No,3,6,6.7,0.59,50,5.4,1,3,5,14,0,5.5
Female,Product,Yes,2,4,4.0,0.22,38,7.5,3,4,3,16,2,7.5
Female,Service,No,3,5,7.881548550458069,0.68,55,6.2,1,2,5,18,1,6.5
Male,Product,No,2,4,7.6,0.57,55,6.0,2,2,4,7,0,6.0
Male,Service,Yes,1,3,6.3,0.47,48,5.3,2,1,4,15,0,5.5
Male,Service,Yes,1,3,6.7,0.46,55,6.0,2,2,5,4,0,6.0
Female,Product,Yes,3,6,7.7,0.61,49,5.2,1,1,4,17,1,5.5
Female,Service,No,3,8,9.901477908929222,0.91,59,5.5,1,1,5,17,1,5.5
Female,Service,Yes,3,5,5.8,0.4,41,7.1,5,5,1,13,5,7.5
Male,Service,No,2,4,6.6,0.44,57,4.9,2,3,5,19,1,5.0
Female,Service,No,2,4,7.4,0.6,56,5.7,2,1,5,9,1,6.0
Female,Service,No,2,5,6.7,0.46,54,5.0,2,1,5,17,1,5.0
Female,Service,Yes,2,4,5.73341197792159,0.45,50,4.9,1,1,4,11,1,5.0
Female,Product,Yes,1,2,3.6,0.2,44,7.0,4,3,1,18,3,7.0
Female,Service,Yes,1,2,3.9,0.2,37,6.5,3,4,2,16,3,6.5
Female,Service,No,0,1,3.0,0.19,43,7.3,3,3,3,7,3,7.5
Male,Service,No,1,3,4.7,0.31,38,7.6,3,3,1,4,2,8.0
Male,Product,No,4,8,8.7,0.81,53,5.2,2,1,4,12,0,5.5
Male,Service,Yes,3,5,4.4,0.39,40,6.6,5,5,2,12,3,7.0
Female,Service,Yes,3,6,5.8,0.42,52,5.7,2,1,4,14,0,6.0
Female,Product,Yes,0,2,3.9,0.19,38,7.7,4,3,2,14,4,8.0
Female,Service,Yes,3,7,6.6,0.56,52,6.4,2,2,4,14,1,6.5
Female,Service,No,4,7,7.3,0.53,53,4.9,2,2,5,4,1,5.0
Female,Service,Yes,3,5,6.183931723931587,0.5,49,4.9,1,1,4,8,1,5.0
Female,Product,Yes,1,3,5.4,0.33,43,7.0,5,5,2,6,3,7.0
Male,Service,No,2,5,5.0,0.45,51,5.1,2,3,4,19,1,5.5
Female,Service,Yes,2,3,6.0,0.36,38,6.1,5,4,3,12,5,6.5
